latitude,longitude,GRIDCODE
27.92359,9.25247,201.0
27.92,7.86322,201.0
28.19779,9.3965,201.0
28.19753,9.39933,201.0
28.4462,9.13943,201.0
28.46573,9.0589,201.0
28.71069,9.03713,201.0
28.70136,8.93941,201.0
28.55732,7.51614,201.0
28.57628,7.6552,201.0
28.56017,7.46486,200.0
28.616,7.71094,201.0
28.59971,7.25935,201.0
28.68359,7.1975,201.0
28.68315,7.1935,201.0
29.69458,6.70823,201.0
29.69923,6.71359,201.0
30.35671,7.76231,202.0
30.36099,7.76178,202.0
30.38929,7.90935,202.0
30.3888,7.90461,202.0
30.47252,7.02669,202.0
30.83512,6.56167,201.0
30.87489,5.6439,201.0
31.65971,6.06441,200.0
31.66299,6.05791,200.0
31.66234,6.05203,200.0
31.66627,6.0514,200.0
31.74894,5.22838,201.0
36.87868,6.94285,190.0
36.87802,6.94712,190.0
36.74844,6.25429,30.0
36.74578,6.24922,14.0
36.74514,6.25353,14.0
36.43099,6.62002,20.0
36.43033,6.62428,150.0
36.74879,3.07996,190.0
36.17648,5.57183,30.0
36.4938,2.46763,134.0
36.49316,2.47313,150.0
36.49249,2.46726,134.0
36.49182,2.47275,150.0
35.88094,4.44531,200.0
36.132,1.24076,190.0
36.12807,1.24013,190.0
35.3499,5.76016,200.0
35.82357,-0.32747,190.0
35.81113,-0.24048,210.0
35.81431,-0.27452,190.0
35.81068,-0.2356,210.0
35.09488,5.64488,201.0
35.82507,-0.32831,190.0
35.81161,-0.23657,210.0
35.81549,-0.27545,190.0
35.81501,-0.27063,190.0
35.8121,-0.24145,210.0
35.80929,-0.25654,190.0
35.79778,-0.18427,190.0
35.77142,-0.26666,190.0
34.98262,5.71355,200.0
34.98199,5.71777,151.0
35.62561,-0.26469,150.0
35.56842,-0.93801,14.0
33.13645,3.36802,201.0
33.13829,3.36612,200.0
33.13004,3.32274,201.0
33.1272,3.31753,200.0
33.12659,3.32208,201.0
33.12374,3.31688,200.0
33.06885,3.32967,200.0
32.94907,3.22951,201.0
32.94561,3.22884,200.0
32.93614,3.23416,200.0
32.93392,3.2244,201.0
32.93267,3.2335,200.0
32.92797,3.24193,201.0
32.7496,3.18212,201.0
32.74388,3.17172,200.0
32.55619,3.16879,200.0
32.40245,4.00579,201.0
32.27846,3.98447,201.0
32.27785,3.98872,201.0
31.39822,6.93232,202.0
31.3949,6.93156,202.0
31.39353,6.93976,202.0
31.40833,5.97569,202.0
31.40505,5.97498,202.0
31.0575,8.0336,202.0
31.05408,8.03278,202.0
31.40241,5.97025,202.0
31.01278,8.16438,202.0
31.0112,8.1732,201.0
31.00777,8.17238,202.0
31.18981,6.78959,201.0
31.18718,6.78476,201.0
30.66327,8.10025,201.0
30.97038,5.7533,201.0
30.96974,5.75729,201.0
30.47412,7.02324,202.0
30.47078,7.02248,200.0
30.25313,8.08385,202.0
30.22293,7.80049,202.0
29.70022,6.70927,201.0
29.69952,6.71334,201.0
29.69758,6.70445,201.0
29.69688,6.70852,201.0
29.69494,6.69963,201.0
29.69424,6.70371,201.0
29.68946,6.69936,201.0
29.68613,6.69861,201.0
28.73789,9.78797,201.0
29.26655,6.493,201.0
28.71452,8.94564,200.0
28.70452,8.93804,201.0
28.46646,9.05824,201.0
28.44763,9.13744,201.0
28.61888,7.70875,201.0
28.63522,7.53569,201.0
28.68513,7.19151,201.0
28.68439,7.19572,201.0
28.57823,7.65377,201.0
27.74852,9.14847,201.0
28.6032,7.25826,201.0
28.55819,7.51533,201.0
28.59978,7.25749,201.0
28.56042,7.46193,200.0
28.19899,9.39438,201.0
28.46973,7.50863,201.0
28.15491,8.96547,201.0
27.92539,9.24736,201.0
27.92439,9.25252,201.0
27.76406,9.18993,201.0
27.75226,9.14937,201.0
27.75127,9.15451,201.0
27.74753,9.15362,201.0
27.73509,9.17751,201.0
27.70419,9.1752,201.0
27.92043,7.8608,201.0
27.41198,8.83687,201.0
27.40828,8.83598,201.0
28.11469,0.30533,201.0
27.79948,0.4619,201.0
28.5601,7.51734,201.0
28.55932,7.46422,200.0
28.68292,7.19364,201.0
30.47064,7.02566,202.0
31.05428,8.03601,202.0
30.87506,5.64477,201.0
31.18617,6.78845,201.0
31.40387,5.97574,202.0
31.56365,5.95301,200.0
31.64456,5.99524,200.0
31.64396,5.99121,200.0
31.66124,6.06263,200.0
31.66065,6.05859,200.0
31.66335,6.05388,201.0
31.75019,5.22773,201.0
32.55426,3.1681,200.0
34.66615,5.10458,150.0
35.34803,5.762,200.0
35.87754,4.44739,200.0
36.33386,5.4831,150.0
36.17895,3.74749,150.0
36.79029,7.69118,190.0
36.74496,6.25898,30.0
35.80937,-0.23431,210.0
35.8054,-0.25525,190.0
35.82194,-0.32343,190.0
36.49013,2.47095,20.0
36.49344,2.4701,134.0
36.59715,2.87748,30.0
36.8785,6.9433,190.0
36.79128,7.69028,190.0
36.79,7.70091,190.0
36.87012,6.98314,190.0
36.76307,7.30806,150.0
36.74742,6.25756,30.0
36.74809,6.25139,30.0
36.43184,6.62091,150.0
36.66545,3.06402,190.0
36.63271,3.23001,30.0
36.49175,2.47038,20.0
36.17663,5.5717,30.0
36.17953,3.74887,150.0
36.14077,2.92546,190.0
35.88253,4.44802,200.0
35.87828,4.4472,200.0
36.13385,1.23761,190.0
36.12843,1.24093,190.0
35.55025,6.86597,150.0
35.23423,8.17179,200.0
35.34974,5.7588,200.0
35.35069,5.75896,200.0
35.8117,-0.25696,190.0
35.81092,-0.24344,210.0
35.81065,-0.23888,210.0
35.81195,-0.26144,190.0
35.81124,-0.3476,190.0
35.77809,-0.259,190.0
34.98505,5.7171,151.0
34.98113,5.71635,200.0
34.4398,2.05511,151.0
33.13819,3.36508,200.0
33.13811,3.36886,201.0
33.12993,3.31604,200.0
33.12943,3.32119,201.0
33.12551,3.31546,200.0
33.12502,3.3206,200.0
33.03992,3.37093,200.0
31.70721,5.95917,200.0
29.68951,6.69798,201.0
29.69658,6.69921,201.0
29.69536,6.70836,201.0
29.69597,6.70378,201.0
