latitude,longitude,HWSD2_SMU_ID
28.71432,8.9467,1819
29.7029,6.71368,36
30.17934,7.68954,36
30.47348,7.02693,36
30.47437,7.0226,36
30.25524,8.0843,36
30.38988,7.90536,36
30.87713,5.64268,36
30.87562,5.64428,36
30.87671,5.63885,36
30.97568,5.7629,36
30.97846,5.75932,36
31.39504,6.93131,36
30.83637,6.5591,1791
30.66454,8.1024,36
31.1876,6.78554,36
31.35859,6.05296,1315
31.36055,6.04889,1315
31.40405,5.97241,1315
31.40786,5.97344,1315
31.00775,8.17193,36
31.01418,8.16331,36
31.056,8.0315,36
31.05498,8.03631,36
31.49636,5.84262,1315
31.01514,8.16122,36
31.05674,8.03461,36
31.39296,6.94102,36
31.39465,6.93273,36
31.58964,5.95465,1315
31.5914,5.95655,1315
31.3933,6.93957,36
31.70663,5.95864,1315
31.66706,6.0587,1315
31.66435,6.05212,1315
31.66325,6.05771,1315
31.66216,6.06329,1315
31.64875,5.98937,1315
31.64387,5.99386,1315
27.79832,0.4631,1818
27.40952,8.83786,1796
27.75013,9.15178,1796
27.74744,9.15303,1796
27.76042,9.19278,1796
27.92359,9.25247,1796
27.92,7.86322,36
28.19779,9.3965,1796
28.19753,9.39933,1796
28.4462,9.13943,1796
28.46573,9.0589,1796
28.71069,9.03713,1819
28.70136,8.93941,1819
28.55732,7.51614,1819
28.57628,7.6552,1819
28.56017,7.46486,1819
28.616,7.71094,1819
28.59971,7.25935,1819
28.68359,7.1975,1819
28.68315,7.1935,1819
29.69458,6.70823,36
29.69923,6.71359,36
30.35671,7.76231,36
30.36099,7.76178,36
30.38929,7.90935,36
30.3888,7.90461,36
30.47252,7.02669,36
30.83512,6.56167,1791
30.87489,5.6439,36
31.65971,6.06441,1315
31.66299,6.05791,1315
31.66234,6.05203,1315
31.66627,6.0514,1315
31.74894,5.22838,1315
36.87868,6.94285,7001
36.87802,6.94712,7001
36.74844,6.25429,7001
36.74578,6.24922,1401
36.74514,6.25353,7001
36.43099,6.62002,1129
36.43033,6.62428,1129
36.74879,3.07996,7001
36.17648,5.57183,1772
36.4938,2.46763,1078
36.49316,2.47313,1078
36.49249,2.46726,1078
36.49182,2.47275,1078
35.88094,4.44531,7001
36.132,1.24076,1344
36.12807,1.24013,1344
35.3499,5.76016,1832
35.82357,-0.32747,1126
35.81113,-0.24048,1078
35.81431,-0.27452,1126
35.81068,-0.2356,1078
35.09488,5.64488,1834
35.82507,-0.32831,7001
35.81161,-0.23657,1078
35.81549,-0.27545,1126
35.81501,-0.27063,1126
35.8121,-0.24145,1078
35.80929,-0.25654,1126
35.79778,-0.18427,1078
35.77142,-0.26666,1135
34.98262,5.71355,1834
34.98199,5.71777,1834
35.62561,-0.26469,1135
35.56842,-0.93801,1126
33.13645,3.36802,1821
33.13829,3.36612,1821
33.13004,3.32274,1821
