HWSD2_SMU_ID,COARSE,SAND,SILT,CLAY,TEXTURE_USDA,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND
31996,6,90,5,5,12.0,C,1.4800000190734863,1.2799999713897705,0.2590000033378601,6.699999809265137,0.3199999928474426,9.0,4,61,4.0,4.0,89,0,3,0.0,0.10000000149011612,0
31962,6,90,5,5,12.0,C,1.4800000190734863,1.2799999713897705,0.2590000033378601,6.699999809265137,0.3199999928474426,9.0,4,61,4.0,4.0,89,0,3,0.0,0.10000000149011612,0
31999,6,90,5,5,12.0,C,1.4800000190734863,1.2799999713897705,0.2590000033378601,6.699999809265137,0.3199999928474426,9.0,4,61,4.0,4.0,89,0,3,0.0,0.10000000149011612,0
32008,6,90,5,5,12.0,C,1.4800000190734863,1.2799999713897705,0.2590000033378601,6.699999809265137,0.3199999928474426,9.0,4,61,4.0,4.0,89,0,3,0.0,0.10000000149011612,0
31940,6,90,5,5,12.0,C,1.4800000190734863,1.2799999713897705,0.2590000033378601,6.699999809265137,0.3199999928474426,9.0,4,61,4.0,4.0,89,0,3,0.0,0.10000000149011612,0
31828,9,87,9,4,12.0,C,1.440000057220459,1.2000000476837158,0.628000020980835,5.699999809265137,0.5199999809265137,13.0,4,33,3.0,3.0,76,6,2,0.0,0.10000000149011612,0
31890,9,87,9,4,12.0,C,1.440000057220459,1.2000000476837158,0.628000020980835,5.699999809265137,0.5199999809265137,13.0,4,33,3.0,3.0,76,6,2,0.0,0.10000000149011612,0
31831,9,87,9,4,12.0,C,1.440000057220459,1.2000000476837158,0.628000020980835,5.699999809265137,0.5199999809265137,13.0,4,33,3.0,3.0,76,6,2,0.0,0.10000000149011612,0
31805,9,87,9,4,12.0,C,1.440000057220459,1.2000000476837158,0.628000020980835,5.699999809265137,0.5199999809265137,13.0,4,33,3.0,3.0,76,6,2,0.0,0.10000000149011612,0
31829,9,87,9,4,12.0,C,1.440000057220459,1.2000000476837158,0.628000020980835,5.699999809265137,0.5199999809265137,13.0,4,33,3.0,3.0,76,6,2,0.0,0.10000000149011612,0
31804,9,87,9,4,12.0,C,1.440000057220459,1.2000000476837158,0.628000020980835,5.699999809265137,0.5199999809265137,13.0,4,33,3.0,3.0,76,6,2,0.0,0.10000000149011612,0
31998,11,44,35,21,9.0,M,1.3899999856948853,1.7300000190734863,1.1399999856948853,8.199999809265137,1.2400000095367432,10.0,10,38,8.0,6.0,72,0,2,15.899999618530273,0.20000000298023224,1
31867,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1964,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1846,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1834,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1838,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1839,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1840,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1844,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1849,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1851,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1843,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
329,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1833,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1832,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1316,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1315,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1823,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1830,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1770,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1775,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1
1963,11,36,33,31,5.0,M,1.440000057220459,1.8600000143051147,0.8319999575614929,8.199999809265137,0.9300000071525574,9.0,22,59,42.0,42.0,99,0,2,18.600000381469727,0.30000001192092896,1
320,11,36,33,31,5.0,M,1.440000057220459,1.8600000143051147,0.8319999575614929,8.199999809265137,0.9300000071525574,9.0,22,59,42.0,42.0,99,0,2,18.600000381469727,0.30000001192092896,1
1779,11,36,33,31,5.0,M,1.440000057220459,1.8600000143051147,0.8319999575614929,8.199999809265137,0.9300000071525574,9.0,22,59,42.0,42.0,99,0,2,18.600000381469727,0.30000001192092896,1
1776,11,36,33,31,5.0,M,1.440000057220459,1.8600000143051147,0.8319999575614929,8.199999809265137,0.9300000071525574,9.0,22,59,42.0,42.0,99,0,2,18.600000381469727,0.30000001192092896,1
1772,11,36,33,31,5.0,M,1.440000057220459,1.8600000143051147,0.8319999575614929,8.199999809265137,0.9300000071525574,9.0,22,59,42.0,42.0,99,0,2,18.600000381469727,0.30000001192092896,1
1842,11,36,33,31,5.0,M,1.440000057220459,1.8600000143051147,0.8319999575614929,8.199999809265137,0.9300000071525574,9.0,22,59,42.0,42.0,99,0,2,18.600000381469727,0.30000001192092896,1
1841,11,36,33,31,5.0,M,1.440000057220459,1.8600000143051147,0.8319999575614929,8.199999809265137,0.9300000071525574,9.0,22,59,42.0,42.0,99,0,2,18.600000381469727,0.30000001192092896,1
31938,9,55,26,19,11.0,M,1.5399999618530273,1.7000000476837158,0.6650000214576721,8.0,0.7400000095367432,9.0,15,68,30.0,30.0,100,0,1,3.799999952316284,0.20000000298023224,1
32040,9,55,26,19,11.0,M,1.5399999618530273,1.7000000476837158,0.6650000214576721,8.0,0.7400000095367432,9.0,15,68,30.0,30.0,100,0,1,3.799999952316284,0.20000000298023224,1
31954,9,55,26,19,11.0,M,1.5399999618530273,1.7000000476837158,0.6650000214576721,8.0,0.7400000095367432,9.0,15,68,30.0,30.0,100,0,1,3.799999952316284,0.20000000298023224,1
32030,9,55,26,19,11.0,M,1.5399999618530273,1.7000000476837158,0.6650000214576721,8.0,0.7400000095367432,9.0,15,68,30.0,30.0,100,0,1,3.799999952316284,0.20000000298023224,1
32031,9,55,26,19,11.0,M,1.5399999618530273,1.7000000476837158,0.6650000214576721,8.0,0.7400000095367432,9.0,15,68,30.0,30.0,100,0,1,3.799999952316284,0.20000000298023224,1
32037,9,55,26,19,11.0,M,1.5399999618530273,1.7000000476837158,0.6650000214576721,8.0,0.7400000095367432,9.0,15,68,30.0,30.0,100,0,1,3.799999952316284,0.20000000298023224,1
32033,9,55,26,19,11.0,M,1.5399999618530273,1.7000000476837158,0.6650000214576721,8.0,0.7400000095367432,9.0,15,68,30.0,30.0,100,0,1,3.799999952316284,0.20000000298023224,1
31953,9,55,26,19,11.0,M,1.5399999618530273,1.7000000476837158,0.6650000214576721,8.0,0.7400000095367432,9.0,15,68,30.0,30.0,100,0,1,3.799999952316284,0.20000000298023224,1
